 ,XM,YM,Slice
1,284.95913,163.91591,51
2,294.01916,162.93237,49
3,276.93358,139.01989,43
4,268.02659,118.96525,37
5,245.02568,112.90166,31
6,262.99494,118.97962,28
7,304.97216,168.02934,51
8,294.01916,162.93237,49
9,276.93358,139.01989,43
10,268.02659,118.96525,37
11,245.02568,112.90166,31
12,262.99494,118.97962,28
13,336.03263,175.05863,51
14,339.99262,170.02597,46
15,320.99877,151.00991,38
16,295.00056,137.98901,34
17,262.99494,118.97962,28
18,270.98473,152.02704,51
19,269.99569,137.99839,49
20,276.93358,139.01989,43
21,268.02659,118.96525,37
22,245.02568,112.90166,31
23,262.99494,118.97962,28
24,266.93328,129.99095,51
25,269.99569,137.99839,49
26,276.93358,139.01989,43
27,268.02659,118.96525,37
28,245.02568,112.90166,31
29,262.99494,118.97962,28
30,295.98264,146.03611,51
31,307.03683,149.90974,45
32,320.99877,151.00991,38
33,295.00056,137.98901,34
34,262.99494,118.97962,28
35,298.02510,138.93752,51
36,276.95619,122.02650,44
37,290.11000,116.86093,40
38,295.00056,137.98901,34
39,262.99494,118.97962,28
40,277.04295,116.94224,51
41,276.95619,122.02650,44
42,290.11000,116.86093,40
43,295.00056,137.98901,34
44,262.99494,118.97962,28
45,238.03144,107.93076,51
46,250.93263,119.97013,45
47,268.02659,118.96525,37
48,245.02568,112.90166,31
49,262.99494,118.97962,28
50,254.02622,131.97631,51
51,250.93263,119.97013,45
52,268.02659,118.96525,37
53,245.02568,112.90166,31
54,262.99494,118.97962,28
55,301.95870,125.07975,51
56,312.01949,135.02290,46
57,290.11000,116.86093,40
58,295.00056,137.98901,34
59,262.99494,118.97962,28
60,331.99562,142.03571,51
61,312.01949,135.02290,46
62,290.11000,116.86093,40
63,295.00056,137.98901,34
64,262.99494,118.97962,28
65,327.97913,158.90346,51
66,307.03683,149.90974,45
67,320.99877,151.00991,38
68,295.00056,137.98901,34
69,262.99494,118.97962,28
70,377.01590,166.88318,51
71,339.99262,170.02597,46
72,320.99877,151.00991,38
73,295.00056,137.98901,34
74,262.99494,118.97962,28
75,212.95512,124.03462,51
76,198.94769,108.92499,44
77,225.97722,110.06479,36
78,245.02568,112.90166,31
79,262.99494,118.97962,28
80,218.09083,110.73617,51
81,231.00576,113.87058,45
82,225.97722,110.06479,36
83,245.02568,112.90166,31
84,262.99494,118.97962,28
85,182.99392,107.85259,51
86,198.94769,108.92499,44
87,225.97722,110.06479,36
88,245.02568,112.90166,31
89,262.99494,118.97962,28
90,242.91288,133.04772,51
91,231.00576,113.87058,45
92,225.97722,110.06479,36
93,245.02568,112.90166,31
94,262.99494,118.97962,28
