 ,XM,YM,Slice
1,464.99075,182.97435,51
2,491.00462,178.00015,48
3,520.00669,183.85920,43
4,545.82352,168.85586,40
5,558.11408,163.02858,29
6,557.90188,168.06290,22
7,490.94960,164.90443,51
8,491.00462,178.00015,48
9,520.00669,183.85920,43
10,545.82352,168.85586,40
11,558.11408,163.02858,29
12,557.90188,168.06290,22
13,464.01267,195.06840,51
14,485.93756,187.86677,48
15,523.98720,193.95205,42
16,545.95242,185.92787,37
17,558.11408,163.02858,29
18,557.90188,168.06290,22
19,489.96830,176.93056,51
20,485.93756,187.86677,48
21,523.98720,193.95205,42
22,545.95242,185.92787,37
23,558.11408,163.02858,29
24,557.90188,168.06290,22
25,459.98514,204.92137,51
26,478.99900,199.05468,50
27,515.02803,200.85793,43
28,550.97051,196.02001,38
29,549.86479,199.84795,30
30,557.90188,168.06290,22
31,484.84447,190.83168,51
32,478.99900,199.05468,50
33,515.02803,200.85793,43
34,550.97051,196.02001,38
35,549.86479,199.84795,30
36,557.90188,168.06290,22
37,459.94237,214.88069,51
38,482.00341,212.01926,48
39,515.03028,217.99707,42
40,537.00315,213.02099,35
41,549.86479,199.84795,30
42,557.90188,168.06290,22
43,483.93745,212.92123,51
44,482.00341,212.01926,48
45,515.03028,217.99707,42
46,537.00315,213.02099,35
47,549.86479,199.84795,30
48,557.90188,168.06290,22
49,511.02369,154.00182,51
50,522.14016,175.91924,49
51,520.00669,183.85920,43
52,545.82352,168.85586,40
53,558.11408,163.02858,29
54,557.90188,168.06290,22
55,520.07093,150.97117,51
56,528.95614,170.07828,49
57,547.91844,154.97106,44
58,545.82352,168.85586,40
59,558.11408,163.02858,29
60,557.90188,168.06290,22
61,531.04991,149.96483,51
62,542.83494,142.97313,48
63,547.91844,154.97106,44
64,545.82352,168.85586,40
65,558.11408,163.02858,29
66,557.90188,168.06290,22
67,541.83511,129.88662,51
68,542.83494,142.97313,48
69,547.91844,154.97106,44
70,545.82352,168.85586,40
71,558.11408,163.02858,29
72,557.90188,168.06290,22
73,545.94337,138.89831,51
74,546.96747,152.96828,49
75,554.98790,168.01129,42
76,545.95242,185.92787,37
77,558.11408,163.02858,29
78,557.90188,168.06290,22
79,557.89315,142.93209,51
80,562.08715,157.99246,49
81,558.97435,184.96869,44
82,550.97051,196.02001,38
83,549.86479,199.84795,30
84,557.90188,168.06290,22
85,502.99538,204.99043,51
86,522.99655,217.02070,48
87,546.00067,207.82233,41
88,537.00315,213.02099,35
89,549.86479,199.84795,30
90,557.90188,168.06290,22
91,505.88445,190.00281,51
92,520.10509,202.92327,49
93,515.02803,200.85793,43
94,550.97051,196.02001,38
95,549.86479,199.84795,30
96,557.90188,168.06290,22
97,512.98577,180.97875,51
98,523.12949,191.91921,49
99,523.98720,193.95205,42
100,545.95242,185.92787,37
101,558.11408,163.02858,29
102,557.90188,168.06290,22
103,524.96373,186.99181,51
104,522.14016,175.91924,49
105,520.00669,183.85920,43
106,545.82352,168.85586,40
107,558.11408,163.02858,29
108,557.90188,168.06290,22
109,533.07744,179.94647,51
110,528.95614,170.07828,49
111,547.91844,154.97106,44
112,545.82352,168.85586,40
113,558.11408,163.02858,29
114,557.90188,168.06290,22
115,540.92644,169.99225,51
116,546.96747,152.96828,49
117,554.98790,168.01129,42
118,545.95242,185.92787,37
119,558.11408,163.02858,29
120,557.90188,168.06290,22
121,550.01256,162.95521,51
122,551.18686,185.08485,49
123,554.98790,168.01129,42
124,545.95242,185.92787,37
125,558.11408,163.02858,29
126,557.90188,168.06290,22
127,561.02159,171.95192,51
128,562.08715,157.99246,49
129,558.97435,184.96869,44
130,550.97051,196.02001,38
131,549.86479,199.84795,30
132,557.90188,168.06290,22
133,543.82782,192.82475,51
134,551.18686,185.08485,49
135,554.98790,168.01129,42
136,545.95242,185.92787,37
137,558.11408,163.02858,29
138,557.90188,168.06290,22
139,554.98575,195.93101,51
140,552.94730,202.95989,48
141,558.97435,184.96869,44
142,550.97051,196.02001,38
143,549.86479,199.84795,30
144,557.90188,168.06290,22
145,560.02162,204.88043,51
146,556.99078,210.92443,46
147,546.00067,207.82233,41
148,537.00315,213.02099,35
149,549.86479,199.84795,30
150,557.90188,168.06290,22
151,552.03663,233.97074,51
152,556.99078,210.92443,46
153,546.00067,207.82233,41
154,537.00315,213.02099,35
155,549.86479,199.84795,30
156,557.90188,168.06290,22
157,542.89295,223.93064,51
158,552.94730,202.95989,48
159,558.97435,184.96869,44
160,550.97051,196.02001,38
161,549.86479,199.84795,30
162,557.90188,168.06290,22
163,528.04429,207.97744,51
164,523.12949,191.91921,49
165,523.98720,193.95205,42
166,545.95242,185.92787,37
167,558.11408,163.02858,29
168,557.90188,168.06290,22
169,524.08842,215.91993,51
170,520.10509,202.92327,49
171,515.02803,200.85793,43
172,550.97051,196.02001,38
173,549.86479,199.84795,30
174,557.90188,168.06290,22
175,523.96600,229.00245,51
176,522.99655,217.02070,48
177,546.00067,207.82233,41
178,537.00315,213.02099,35
179,549.86479,199.84795,30
180,557.90188,168.06290,22
181,500.97594,224.00318,51
182,523.00904,227.98125,48
183,515.03028,217.99707,42
184,537.00315,213.02099,35
185,549.86479,199.84795,30
186,557.90188,168.06290,22
187,529.96066,244.06603,51
188,523.00904,227.98125,48
189,515.03028,217.99707,42
190,537.00315,213.02099,35
191,549.86479,199.84795,30
192,557.90188,168.06290,22
